request_id,source_location_id,destination_location_id,category,urgency,time_submitted,deadline,status
Q298,L018,L017,Cleaning,2,2026-07-22T18:45,2026-07-23T01:45,IN_PROGRESS
Q299,L041,L021,Electrical,4,2026-07-16T17:30,2026-07-17T00:30,IN_PROGRESS
Q300,L028,L053,Waste Pickup,5,2026-07-17T16:30,2026-07-17T23:30,COMPLETED
Q301,L011,L006,Shuttle Request,3,2026-07-27T22:15,2026-07-28T02:15,COMPLETED
Q302,L043,L015,Medical,4,2026-07-04T19:00,2026-07-05T03:00,COMPLETED
Q303,L034,L028,Waste Pickup,3,2026-07-28T19:45,2026-07-28T21:45,IN_PROGRESS
Q304,L018,L049,IT Support,2,2026-07-28T09:00,2026-07-28T12:00,CANCELLED
Q305,L034,L032,Facility Repair,5,2026-07-12T13:30,2026-07-12T18:30,CANCELLED
Q306,L009,L039,Maintenance,4,2026-07-19T21:30,2026-07-20T02:30,IN_PROGRESS
Q307,L005,L018,Security,4,2026-07-05T07:45,2026-07-05T14:45,IN_PROGRESS
Q308,L044,L004,Lab Equipment,2,2026-07-28T11:45,2026-07-28T13:45,COMPLETED
Q309,L035,L001,Security,3,2026-07-27T21:30,2026-07-27T23:30,COMPLETED
Q310,L041,L036,Electrical,5,2026-07-03T20:30,2026-07-04T00:30,CANCELLED
Q311,L056,L039,Lab Equipment,5,2026-07-26T21:54,2026-07-27T02:54,CANCELLED
Q312,L019,L040,Cleaning,4,2026-07-02T11:30,2026-07-02T16:30,COMPLETED
Q313,L006,L045,Medical,2,2026-07-03T14:54,2026-07-03T18:54,NEW
Q314,L043,L033,Medical,1,2026-07-01T10:45,2026-07-01T13:45,NEW
Q315,L007,L002,Cleaning,4,2026-07-28T09:00,2026-07-28T17:00,CANCELLED
Q316,L050,L007,Cleaning,5,2026-07-19T20:45,2026-07-20T01:45,COMPLETED
Q317,L008,L011,Waste Pickup,5,2026-07-20T09:00,2026-07-20T17:00,CANCELLED
Q318,L051,L040,Electrical,1,2026-07-22T17:45,2026-07-23T00:45,IN_PROGRESS
Q319,L008,L038,Medical,1,2026-07-23T13:15,2026-07-23T21:15,COMPLETED
Q320,L041,L050,Cleaning,5,2026-07-06T09:54,2026-07-06T17:54,NEW
